asset,label,type,direction,start,end,days,move_pct,shock_sessions,shock_share_of_move,spy_pct,tlt_pct,headline_themes,narrative,narrative_confidence,origins,prob_up_h7,share_p50_h7_negative,share_consensus_sell,share_consensus_buy,share_signal_long,mean_exposure_pct,exposure_weighted_ret_pct
BTC,BTC/USD,crypto,down,2024-05-20,2024-07-07,48,-21.9,3,0.54,5.0,2.2,"{'Fed / rates': 28, 'AI / product': 16, 'flows': 14}",,,49.0,0.476,0.653,0.0,0.0,1.0,100.0,-20.6
BTC,BTC/USD,crypto,up,2024-07-07,2024-07-28,21,22.3,1,0.32,-1.8,0.5,"{'Fed / rates': 10, 'macro sell-off': 8, 'earnings / guidance': 6}",,,22.0,0.509,0.5,0.045,0.045,1.0,100.0,19.7
BTC,BTC/USD,crypto,down,2024-07-28,2024-08-05,8,-20.9,2,0.58,-5.0,6.6,"{'Fed / rates': 7, 'macro sell-off': 6, 'earnings / guidance': 5}",,,9.0,0.557,0.222,0.0,0.0,1.0,100.0,-17.9
BTC,BTC/USD,crypto,up,2024-08-05,2024-08-25,20,19.1,1,0.65,8.7,-0.4,"{'macro sell-off': 10, 'Fed / rates': 9, 'flows': 7}",,,21.0,0.512,0.381,0.095,0.0,0.667,66.7,18.8
BTC,BTC/USD,crypto,up,2024-09-06,2024-12-17,102,96.7,3,0.35,12.2,-8.0,"{'Fed / rates': 43, 'macro sell-off': 19, 'earnings / guidance': 18}",Fed cutting cycle began (18 Sep); Trump's election win (5 Nov) priced as pro-crypto; $100k reached 5 Dec,high,103.0,0.523,0.369,0.01,0.019,0.893,89.3,69.9
BTC,BTC/USD,crypto,down,2024-12-17,2025-04-08,112,-28.2,5,0.95,-17.3,-1.1,"{'Fed / rates': 35, 'tariffs': 25, 'flows': 18}",,,113.0,0.551,0.248,0.018,0.159,0.912,91.2,-21.5
BTC,BTC/USD,crypto,up,2025-04-08,2025-10-06,181,63.6,6,0.62,36.1,2.6,"{'Fed / rates': 26, 'tariffs': 20, 'flows': 15}",,,182.0,0.497,0.462,0.055,0.022,0.984,98.4,51.5
BTC,BTC/USD,crypto,down,2025-10-06,2025-11-22,47,-32.1,2,0.32,-1.9,1.3,"{'macro sell-off': 12, 'flows': 8, 'Fed / rates': 6}",10 Oct tariff shock and record $19bn liquidation; ETF outflows and the break below $100k (4 Nov) — archive headlines,medium,48.0,0.612,0.062,0.0,0.417,0.792,79.2,-22.4
BTC,BTC/USD,crypto,down,2026-01-14,2026-02-05,22,-35.3,4,0.73,-1.8,-0.6,"{'macro sell-off': 8, 'earnings / guidance': 6, 'AI / product': 5}","Greenland tariff scare (20 Jan), Fed pause (28-29 Jan), cross-asset deleveraging with the software and metals rout (5 Feb) — archive headlines",medium,23.0,0.509,0.609,0.0,0.0,0.348,34.8,-20.4
BTC,BTC/USD,crypto,up,2026-02-05,2026-05-10,94,30.9,2,0.62,9.2,-0.5,"{'geopolitics': 50, 'macro sell-off': 25, 'Fed / rates': 11}",,,95.0,0.505,0.421,0.042,0.084,0.674,67.4,21.8
BTC,BTC/USD,crypto,down,2026-05-10,2026-06-30,51,-28.8,1,0.2,1.5,0.8,"{'geopolitics': 16, 'macro sell-off': 10, 'Fed / rates': 8}",,,52.0,0.491,0.558,0.0,0.019,0.596,59.6,-21.3
BTC,BTC/USD,crypto,up,2026-06-30,2026-08-27,58,37.1,5,0.82,3.3,-3.1,"{'geopolitics': 21, 'Fed / rates': 15, 'flows': 11}",,,59.0,0.519,0.273,0.051,0.017,0.729,72.9,14.1
SPY,S&P 500 (SPY),index,up,2016-02-11,2016-06-08,118,16.1,0,0.0,16.1,0.5,,,,15.0,0.531,0.333,0.0,0.467,0.333,33.3,0.7
SPY,S&P 500 (SPY),index,up,2016-06-27,2018-01-26,578,48.0,9,0.27,48.0,-7.9,,Post-Brexit recovery into the 2017 earnings and tax-cut melt-up,high,400.0,0.589,0.172,0.02,0.165,0.94,94.0,38.4
SPY,S&P 500 (SPY),index,down,2018-01-26,2018-02-08,13,-10.0,3,0.96,-10.0,-3.8,,,,10.0,0.782,0.0,0.0,1.0,1.0,100.0,-8.7
SPY,S&P 500 (SPY),index,up,2018-02-08,2018-03-09,29,8.1,0,0.0,8.1,-0.5,,,,21.0,0.732,0.0,0.0,0.667,1.0,100.0,8.1
SPY,S&P 500 (SPY),index,down,2018-03-09,2018-04-02,24,-7.2,1,0.33,-7.2,3.6,,,,16.0,0.751,0.0,0.0,0.625,1.0,100.0,-6.1
SPY,S&P 500 (SPY),index,up,2018-04-02,2018-09-20,171,14.0,0,0.0,14.0,-2.8,,,,121.0,0.708,0.0,0.0,0.306,1.0,100.0,13.9
SPY,S&P 500 (SPY),index,down,2018-09-20,2018-10-29,39,-9.8,3,0.82,-9.8,-1.8,,,,28.0,0.758,0.0,0.0,0.75,0.964,96.4,-10.2
SPY,S&P 500 (SPY),index,down,2018-12-03,2018-12-24,21,-15.6,1,0.19,-15.6,5.0,,"December 2018 Fed hike into a slowdown, trade war, government shutdown",high,15.0,0.673,0.0,0.0,0.667,1.0,100.0,-11.4
SPY,S&P 500 (SPY),index,up,2018-12-24,2019-05-03,130,26.0,3,0.31,26.0,2.8,,,,90.0,0.62,0.144,0.0,0.122,0.933,93.3,24.9
SPY,S&P 500 (SPY),index,up,2019-06-03,2019-07-26,53,10.5,0,0.0,10.5,-0.5,,,,39.0,0.697,0.0,0.0,0.256,1.0,100.0,10.3
SPY,S&P 500 (SPY),index,up,2019-08-14,2020-02-19,189,20.3,0,0.0,20.3,0.9,,,,130.0,0.685,0.015,0.0,0.354,1.0,100.0,19.8
SPY,S&P 500 (SPY),index,down,2020-02-19,2020-02-28,9,-12.4,3,0.83,-12.4,6.7,,,,8.0,0.65,0.0,0.0,0.625,0.75,75.0,-12.0
SPY,S&P 500 (SPY),index,down,2020-03-04,2020-03-12,8,-18.5,1,0.36,-18.5,1.8,,COVID crash (this leg is the 4-12 March segment of it),high,7.0,0.574,0.0,0.0,0.0,0.571,57.1,-10.7
SPY,S&P 500 (SPY),index,down,2020-03-13,2020-03-16,3,-10.8,1,1.0,-10.8,6.5,,,,,,,,,,,
SPY,S&P 500 (SPY),index,down,2020-03-17,2020-03-23,6,-11.9,0,-0.0,-11.9,8.5,,,,5.0,0.523,0.0,0.0,0.0,0.0,0.0,0.0
SPY,S&P 500 (SPY),index,up,2020-03-23,2020-03-30,7,17.5,0,0.0,17.5,0.2,,,,6.0,0.517,0.167,0.0,0.167,0.667,66.7,4.3
SPY,S&P 500 (SPY),index,up,2020-04-01,2020-06-08,68,31.3,0,0.0,31.3,-5.9,,,,47.0,0.649,0.0,0.0,0.447,0.809,80.9,11.7
SPY,S&P 500 (SPY),index,down,2020-06-08,2020-06-11,3,-6.9,1,0.82,-6.9,4.6,,,,4.0,0.675,0.0,0.0,0.25,1.0,100.0,-5.8
SPY,S&P 500 (SPY),index,up,2020-06-11,2020-09-02,83,19.5,1,0.08,19.5,1.3,,,,59.0,0.65,0.0,0.0,0.322,1.0,100.0,15.4
SPY,S&P 500 (SPY),index,down,2020-09-02,2020-09-23,21,-9.5,2,0.62,-9.5,-0.6,,,,15.0,0.593,0.133,0.0,0.533,1.0,100.0,-9.2
SPY,S&P 500 (SPY),index,up,2020-09-23,2020-10-12,19,9.2,0,0.0,9.2,-2.3,,,,14.0,0.654,0.0,0.0,0.357,1.0,100.0,8.6
SPY,S&P 500 (SPY),index,down,2020-10-12,2020-10-30,18,-7.3,1,0.46,-7.3,-1.9,,,,15.0,0.603,0.067,0.0,0.533,1.0,100.0,-6.3
SPY,S&P 500 (SPY),index,up,2020-10-30,2021-09-02,307,40.2,1,0.04,40.2,-3.8,,"Vaccines, reopening and fiscal stimulus",high,212.0,0.657,0.005,0.0,0.542,1.0,100.0,40.2
SPY,S&P 500 (SPY),index,up,2021-10-04,2022-01-03,91,11.8,0,0.0,11.8,-0.1,,,,64.0,0.679,0.0,0.0,0.656,1.0,100.0,11.8
SPY,S&P 500 (SPY),index,down,2022-01-03,2022-01-27,24,-9.7,0,-0.0,-9.7,-0.9,,,,18.0,0.684,0.0,0.0,0.889,1.0,100.0,-7.5
SPY,S&P 500 (SPY),index,down,2022-02-09,2022-03-08,27,-9.0,0,-0.0,-9.0,-0.3,,,,19.0,0.699,0.0,0.0,0.789,0.895,89.5,-7.4
SPY,S&P 500 (SPY),index,up,2022-03-08,2022-03-29,21,11.2,0,0.0,11.2,-5.1,,,,16.0,0.656,0.0,0.0,0.438,0.812,81.2,8.5
SPY,S&P 500 (SPY),index,down,2022-03-29,2022-05-19,51,-15.6,2,0.39,-15.6,-10.1,,"50 bp hike, 8%+ CPI, growth scare; Nasdaq bear market",high,37.0,0.633,0.027,0.0,0.541,0.946,94.6,-13.7
SPY,S&P 500 (SPY),index,up,2022-05-19,2022-06-02,14,7.2,0,0.0,7.2,-0.6,,,,10.0,0.667,0.0,0.0,0.3,0.8,80.0,5.2
SPY,S&P 500 (SPY),index,down,2022-06-02,2022-06-16,14,-12.1,0,-0.0,-12.1,-3.9,,,,11.0,0.614,0.0,0.0,0.364,0.273,27.3,1.3
SPY,S&P 500 (SPY),index,up,2022-06-16,2022-08-16,61,17.7,0,0.0,17.7,4.2,,,,42.0,0.586,0.0,0.0,0.167,0.881,88.1,16.7
SPY,S&P 500 (SPY),index,down,2022-08-16,2022-09-06,21,-9.1,1,0.36,-9.1,-7.1,,,,15.0,0.574,0.067,0.067,0.2,0.4,40.0,-3.1
SPY,S&P 500 (SPY),index,down,2022-09-12,2022-09-30,18,-12.7,1,0.33,-12.7,-4.6,,"Hot August CPI (13 Sep), 75 bp hike (21 Sep), UK gilt crisis",high,15.0,0.612,0.0,0.0,0.133,0.933,93.3,-6.4
SPY,S&P 500 (SPY),index,up,2022-10-12,2022-11-30,49,14.3,1,0.4,14.3,2.6,,,,35.0,0.565,0.114,0.0,0.0,0.8,80.0,4.5
SPY,S&P 500 (SPY),index,down,2022-11-30,2022-12-28,28,-7.2,0,-0.0,-7.2,-2.6,,,,20.0,0.568,0.2,0.05,0.0,0.65,65.0,-2.0
SPY,S&P 500 (SPY),index,up,2022-12-28,2023-02-02,36,10.7,0,0.0,10.7,9.1,,,,25.0,0.595,0.04,0.0,0.24,0.88,88.0,5.1
SPY,S&P 500 (SPY),index,down,2023-02-02,2023-03-13,39,-7.5,0,-0.0,-7.5,-2.1,,,,27.0,0.609,0.0,0.0,0.333,1.0,100.0,-6.0
SPY,S&P 500 (SPY),index,up,2023-03-13,2023-07-31,140,19.7,1,0.11,19.7,-4.5,,,,97.0,0.651,0.0,0.0,0.629,0.99,99.0,17.3
SPY,S&P 500 (SPY),index,down,2023-07-31,2023-10-27,88,-10.0,1,0.13,-10.0,-14.9,,,,64.0,0.62,0.0,0.0,0.281,0.984,98.4,-7.8
SPY,S&P 500 (SPY),index,up,2023-10-27,2024-03-27,152,28.3,2,0.14,28.3,14.1,"{'Fed / rates': 46, 'macro sell-off': 13, 'AI / product': 11}",,,104.0,0.636,0.019,0.0,0.558,1.0,100.0,28.3
SPY,S&P 500 (SPY),index,up,2024-04-19,2024-07-16,88,14.4,1,0.07,14.4,6.7,"{'Fed / rates': 87, 'macro sell-off': 35, 'AI / product': 31}",,,60.0,0.615,0.033,0.0,0.383,1.0,100.0,12.8
SPY,S&P 500 (SPY),index,down,2024-07-16,2024-08-05,20,-8.4,3,0.76,-8.4,5.3,"{'Fed / rates': 19, 'macro sell-off': 18, 'earnings / guidance': 14}",,,15.0,0.549,0.267,0.0,0.133,1.0,100.0,-7.6
SPY,S&P 500 (SPY),index,up,2024-08-05,2025-02-19,198,19.2,1,0.14,19.2,-8.8,"{'Fed / rates': 141, 'macro sell-off': 67, 'geopolitics': 66}",,,136.0,0.622,0.125,0.0,0.551,1.0,100.0,18.7
SPY,S&P 500 (SPY),index,down,2025-02-19,2025-04-08,48,-18.8,4,0.75,-18.8,0.8,"{'tariffs': 50, 'macro sell-off': 45, 'geopolitics': 32}",Tariff escalation from February to 'Liberation Day' (2 Apr) and the China retaliation,high,35.0,0.63,0.086,0.0,0.457,0.886,88.6,-11.1
SPY,S&P 500 (SPY),index,up,2025-04-08,2025-04-09,1,10.5,1,1.0,10.5,0.6,"{'tariffs': 8, 'macro sell-off': 7, 'geopolitics': 3}",,,,,,,,,,
SPY,S&P 500 (SPY),index,up,2025-04-21,2025-10-29,191,34.5,2,0.16,34.5,8.3,"{'geopolitics': 79, 'Fed / rates': 71, 'tariffs': 54}",Tariff pause (9 Apr) and the AI-capex earnings rebound,high,134.0,0.613,0.045,0.03,0.343,0.963,96.3,29.3
SPY,S&P 500 (SPY),index,up,2025-11-20,2026-01-27,68,6.9,0,0.0,6.9,-0.9,"{'flows': 16, 'Fed / rates': 15, 'macro sell-off': 15}",,,45.0,0.615,0.022,0.0,0.356,1.0,100.0,6.9
SPY,S&P 500 (SPY),index,down,2026-01-27,2026-03-30,62,-8.9,0,-0.0,-8.9,-0.5,"{'geopolitics': 51, 'macro sell-off': 40, 'Fed / rates': 16}",,,44.0,0.568,0.091,0.0,0.227,1.0,100.0,-6.2
SPY,S&P 500 (SPY),index,up,2026-03-30,2026-08-13,136,23.4,1,0.14,23.4,-3.0,"{'geopolitics': 91, 'macro sell-off': 48, 'Fed / rates': 46}",,,95.0,0.596,0.189,0.0,0.432,0.989,98.9,23.1
TLT,20y+ Treasuries (TLT),bond,down,2016-07-08,2016-12-14,159,-18.0,1,0.22,6.8,-18.0,,From the post-Brexit yield low through the election reflation trade and the December hike,high,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2016-12-14,2017-09-07,267,12.8,3,0.38,11.0,12.8,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2017-12-15,2018-02-21,68,-8.7,1,0.16,1.3,-8.7,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2018-07-06,2018-11-02,119,-7.9,3,0.51,-0.8,-7.9,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2018-11-02,2019-08-28,299,34.5,8,0.44,7.9,34.5,,Fed pivot to patience then cuts (2019); trade-war flight to safety; curve inversion,high,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2019-08-28,2019-09-13,16,-7.5,0,-0.0,4.2,-7.5,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2019-09-13,2019-10-04,21,7.1,0,0.0,-1.8,7.1,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2019-10-04,2019-11-08,35,-7.4,0,-0.0,5.0,-7.4,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2019-11-08,2020-03-09,122,27.8,4,0.48,-10.1,27.8,,COVID flight to safety and emergency cuts,high,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2020-03-09,2020-03-13,4,-10.1,1,0.49,-2.2,-10.1,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2020-03-16,2020-03-18,2,-11.9,1,0.54,-2.2,-11.9,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2020-03-18,2020-04-21,34,18.8,0,0.0,16.6,18.8,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2020-04-21,2020-06-05,45,-8.6,0,-0.0,16.9,-8.6,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2020-06-05,2020-08-04,60,10.2,0,0.0,3.8,10.2,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2020-08-04,2021-03-18,226,-21.3,3,0.24,19.6,-21.3,,Reflation trade: vaccines and stimulus took the 10-year from 0.5% to 1.7%,high,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2021-03-18,2021-09-22,188,14.3,2,0.25,12.9,14.3,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2021-10-11,2021-12-03,53,9.3,0,0.0,4.3,9.3,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2021-12-03,2022-06-14,193,-28.9,4,0.36,-17.0,-28.9,,Fed pivot to hikes with CPI above 8%; the 75 bp June hike,high,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2022-06-14,2022-08-01,48,10.7,0,0.0,10.3,10.7,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2022-08-01,2022-10-24,84,-22.7,0,-0.0,-7.4,-22.7,,Jackson Hole and two more 75 bp hikes; 10-year yield to 4.3%,high,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2022-10-24,2022-12-07,44,19.0,1,0.22,3.8,19.0,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2022-12-07,2022-12-28,21,-8.8,0,-0.0,-3.8,-8.8,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2022-12-28,2023-01-18,21,9.1,0,0.0,3.9,9.1,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2023-01-18,2023-03-02,43,-8.0,0,-0.0,1.6,-8.0,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2023-03-02,2023-04-06,35,9.4,2,0.65,3.3,9.4,,,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2023-04-06,2023-10-19,196,-22.4,4,0.41,5.0,-22.4,,"'Higher for longer', Fitch downgrade (1 Aug), heavy Treasury supply; 10-year touched 5% on 19 Oct",high,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2023-10-19,2023-12-27,69,22.6,0,0.0,12.2,22.6,{'Fed / rates': 2},Disinflation and the December 2023 Fed pivot toward cuts,high,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2023-12-27,2024-01-24,28,-7.1,0,-0.0,1.9,-7.1,{},,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2024-02-01,2024-04-25,84,-10.1,2,0.39,3.2,-10.1,"{'Fed / rates': 66, 'macro sell-off': 16, 'AI / product': 5}",,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2024-04-25,2024-09-16,144,17.4,1,0.19,12.1,17.4,"{'Fed / rates': 139, 'macro sell-off': 33, 'AI / product': 18}",,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2024-09-16,2024-11-13,58,-10.8,3,0.54,6.4,-10.8,"{'Fed / rates': 41, 'AI / product': 5, 'geopolitics': 5}",,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2024-12-06,2025-01-14,39,-9.3,0,-0.0,-3.9,-9.3,"{'Fed / rates': 34, 'macro sell-off': 6, 'geopolitics': 3}",,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2025-01-14,2025-04-04,80,10.0,1,0.18,-12.9,10.0,"{'Fed / rates': 51, 'tariffs': 15, 'earnings / guidance': 8}",,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2025-04-04,2025-05-21,47,-9.2,2,0.6,15.4,-9.2,"{'Fed / rates': 28, 'tariffs': 9, 'macro sell-off': 7}",,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,up,2025-05-21,2026-02-27,282,11.8,3,0.43,18.7,11.8,"{'Fed / rates': 79, 'macro sell-off': 12, 'geopolitics': 10}",,,,,,,,,,
TLT,20y+ Treasuries (TLT),bond,down,2026-02-27,2026-05-19,81,-7.6,2,0.43,7.3,-7.6,"{'Fed / rates': 30, 'geopolitics': 9, 'macro sell-off': 7}",,,,,,,,,,
AAPL,Apple,stock,up,2010-02-04,2010-04-23,78,41.0,2,0.28,,,,,,,,,,,,,
AAPL,Apple,stock,down,2010-04-23,2010-05-07,14,-12.9,0,-0.0,,,,,,,,,,,,,
AAPL,Apple,stock,up,2010-05-07,2010-05-12,5,11.1,1,0.7,,,,,,,,,,,,,
AAPL,Apple,stock,up,2010-05-20,2010-06-02,13,11.0,0,0.0,,,,,,9.0,0.609,0.0,0.0,0.111,1.0,100.0,10.7
AAPL,Apple,stock,up,2010-06-09,2010-06-18,9,12.7,0,0.0,,,,,,8.0,0.599,0.0,0.0,0.25,0.5,50.0,9.6
AAPL,Apple,stock,down,2010-06-18,2010-07-19,31,-10.4,1,0.42,,,,,,21.0,0.618,0.0,0.0,0.238,0.714,71.4,-2.7
AAPL,Apple,stock,up,2010-08-24,2011-02-16,176,51.3,5,0.36,,,,,,123.0,0.697,0.057,0.0,0.756,0.927,92.7,39.4
AAPL,Apple,stock,down,2011-02-16,2011-04-15,58,-9.8,2,0.78,,,,,,42.0,0.724,0.0,0.0,1.0,1.0,100.0,-8.6
AAPL,Apple,stock,down,2011-04-25,2011-06-20,56,-10.7,0,-0.0,,,,,,40.0,0.627,0.025,0.0,0.75,1.0,100.0,-7.8
AAPL,Apple,stock,up,2011-06-20,2011-07-26,36,27.9,0,0.0,,,,,,26.0,0.566,0.115,0.0,0.5,0.962,96.2,22.4
AAPL,Apple,stock,down,2011-07-26,2011-08-08,13,-12.4,3,0.92,,,,,,10.0,0.657,0.0,0.0,0.9,1.0,100.0,-7.3
AAPL,Apple,stock,up,2011-08-19,2011-09-20,32,16.1,0,0.0,,,,,,22.0,0.582,0.091,0.0,0.409,1.0,100.0,15.8
AAPL,Apple,stock,down,2011-09-20,2011-10-07,17,-10.6,0,-0.0,,,,,,14.0,0.608,0.0,0.0,0.643,1.0,100.0,-6.0
AAPL,Apple,stock,up,2011-10-07,2011-10-18,11,14.2,1,0.38,,,,,,8.0,0.544,0.25,0.0,0.0,1.0,100.0,7.8
AAPL,Apple,stock,down,2011-10-18,2011-11-25,38,-13.9,1,0.38,,,,,,28.0,0.631,0.071,0.0,0.5,1.0,100.0,-10.9
AAPL,Apple,stock,up,2011-11-25,2012-04-09,136,75.0,2,0.17,,,,,,92.0,0.64,0.033,0.0,0.674,1.0,100.0,72.9
AAPL,Apple,stock,down,2012-04-09,2012-04-24,15,-11.9,1,0.33,,,,,,12.0,0.681,0.0,0.0,0.75,1.0,100.0,-4.1
AAPL,Apple,stock,down,2012-04-25,2012-05-17,22,-13.1,0,-0.0,,,,,,17.0,0.567,0.235,0.0,0.0,1.0,100.0,-13.1
AAPL,Apple,stock,up,2012-05-17,2012-09-19,125,33.0,0,0.0,,,,,,87.0,0.61,0.057,0.0,0.356,1.0,100.0,32.4
